[Thu Sep 24 23:51:33.091 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:53:45.528 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:53:45.625 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:54:00.116 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:58:18.216 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:58:18.315 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:58:33.584 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Fri Sep 25 00:07:22.728 2009] 0.000 sec [scan/2/rel 107 (0,12)] [*] 
[Fri Sep 25 00:07:34.188 2009] 0.000 sec [scan/2/rel 107 (0,12)] [*] 
[Fri Sep 25 00:07:51.164 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Fri Sep 25 10:06:23.400 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Fri Sep 25 10:06:23.495 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Fri Sep 25 10:06:56.178 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Fri Sep 25 10:49:49.944 2009] 0.000 sec [scan/2/rel 107 (0,12)] [*] 
[Fri Sep 25 10:51:12.853 2009] 0.000 sec [scan/2/rel 1 (0,20)] [user_core] 
[Fri Sep 25 10:57:02.122 2009] 0.004 sec [scan/2/rel 43159 (0,12)] [*] 
[Fri Sep 25 10:57:07.124 2009] 0.016 sec [all/2/rel 36 (0,12)] [*] hyde
[Fri Sep 25 10:57:21.955 2009] 0.004 sec [scan/2/rel 43159 (12,12)] [*] 
[Fri Sep 25 10:58:05.804 2009] 0.013 sec [all/2/rel 30 (0,12)] [*] hyde park
[Fri Sep 25 10:58:49.749 2009] 0.002 sec [all/2/rel 82 (0,12)] [*] regents park
[Fri Sep 25 11:04:32.741 2009] 0.000 sec [ext/2/rel 13 (0,12)] [*] @sex 1 @age 1
[Fri Sep 25 11:04:45.375 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Fri Sep 25 11:04:46.891 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Fri Sep 25 11:04:49.035 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Fri Sep 25 11:04:51.911 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Fri Sep 25 11:04:54.538 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Fri Sep 25 11:04:55.003 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Fri Sep 25 11:04:55.351 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Fri Sep 25 11:05:05.730 2009] 0.000 sec [all/2/rel 1 (0,12)] [*] drink
